synthetic_id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
synthetic_1,7.341821,3.8456647,10.272915,15.324369,9.137969,8.759595,8.123771,8.111415,5.50962,15.060051,6.848952,3.2153676,5.516897,2.8314254,7.609898,9.73188,5.197044,5.2325897,5.4572,10.86233,4.2657685,7.7269363,6.073189,5.937493,3.6385643,7.180123
synthetic_2,5.2412314,5.0297866,15.492198,9.128988,10.540128,10.882797,5.076218,13.184902,8.257255,6.0214148,4.159499,3.3788226,7.4595027,4.306032,8.547634,11.356993,12.053538,7.5287824,1.7738583,19.07334,2.8385155,6.8407874,8.612092,4.7038736,4.865378,3.8173597
synthetic_3,9.776691,7.6291356,13.949653,17.990923,18.705963,7.7514615,12.391761,9.185393,17.426235,5.7568254,5.653583,6.452373,6.166029,4.8708386,8.058316,12.843299,9.510918,10.5816965,4.5265346,11.571227,9.037923,14.101375,8.352901,6.0574155,5.76759,10.049959
synthetic_4,6.4219675,4.6028438,10.534018,13.377889,23.3766,7.4497,3.9449563,6.1615477,6.980724,11.173429,2.8433423,5.5476885,2.423951,3.2760975,5.176773,10.7015915,7.633592,2.451324,3.8384514,10.4193325,4.218717,12.978163,5.0066776,2.7936747,4.1061106,2.170419
synthetic_5,18.62143,5.7086954,15.477138,11.44584,17.170408,7.0534744,6.7691855,4.862217,9.794671,4.052676,5.429006,3.417894,6.6248913,3.818361,5.2374,15.807362,7.4157195,7.9297104,3.170088,11.538932,3.069699,11.686392,7.0005765,5.0305676,5.071275,8.247424
synthetic_6,5.8095546,5.5480595,14.472945,12.487743,14.041526,6.0526175,5.23901,5.991674,5.3233204,7.901732,5.1850266,2.9277627,2.7975607,5.4650183,5.829941,9.289569,9.04397,3.2694237,2.7529328,7.737937,6.9936447,8.555062,5.5360436,8.201723,5.5023727,9.608637
synthetic_7,9.083376,4.8618298,11.8880825,13.640098,23.63964,3.1604362,6.4844456,6.264919,5.977255,6.510805,14.09841,4.710795,8.322294,4.127349,6.0343156,11.878664,14.3622675,5.934031,4.3678484,9.154341,9.89216,7.130824,3.6044335,12.543592,4.0022917,3.0623765
synthetic_8,9.147076,3.1911964,13.287983,15.359573,20.482313,11.077078,6.515517,4.33827,8.364325,10.630095,8.689249,4.129852,6.3842854,4.6925406,5.4025426,9.895056,11.141504,4.0600157,8.199107,7.21425,2.0606568,16.493929,4.215778,6.948335,4.06132,5.945015
synthetic_9,15.407106,4.86231,11.13897,10.217698,7.6809325,7.4969907,3.97482,7.643701,13.697966,7.747684,8.457113,5.420246,5.8288407,4.0661345,4.975617,12.294239,15.338052,4.1953874,11.443815,9.850637,3.510927,13.227199,7.3778768,2.180526,5.276053,9.966374
synthetic_10,3.8022625,3.7060611,16.51848,16.403772,25.099215,6.087729,4.859916,4.530806,4.772958,6.2433925,7.7028537,3.919503,3.3490355,1.9271005,7.524576,9.388757,6.568217,4.8920364,5.2138395,10.506182,7.9441466,12.624458,4.8333673,7.8908763,4.349412,9.282458
